d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d16,d16,d16,d16,d16,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d16
d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11
d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d16,d16,d16,d1,d4,d4,d4,d4,d4,d4,d4,d4,d4,d15,d4,d4,d3,d16,d16,d16,d16,d17
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d12,d12,d11,d12,d11,d11,d11,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10,d10
d18,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17
d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d19,d20,d20,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
