d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d9,d9,d9
d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11,d10,d10,d10,d11
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d1,d3,d4,d4,d5,d5,d5,d4,d4,d4,d4,d4,d4,d5,d5,d5,d5,d6,d6,d6
d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9
d20,d20,d20,d20,d19,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d18,d18
d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
