d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8
d16,d16,d16,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16
d9,d9,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d9,d8,d8,d7,d7,d6,d5,d1
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d8,d7,d9,d9,d8,d9,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d8,d8,d8,d8,d9,d9
d17,d17,d17,d18,d18,d18,d19,d20,d19,d19,d19,d18,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17
d5,d5,d5,d6,d6,d6,d6,d6,d6,d6,d6,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d4,d4,d3,d3,d3
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d5,d5,d6,d6,d6,d6,d7,d7,d7,d7,d7,d7,d7,d8,d8,d8,d8,d9,d9,d8,d8,d8,d8,d9,d9,d9,d8,d8,d8,d8,d7,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d8
