d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11
d1,d4,d5,d6,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d18,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16
d9,d9,d9,d9,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10,d9,d9,d9,d9,d9,d9
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11,d10,d10,d10,d10
d12,d10,d11,d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d12,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10
d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17
d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10,d10,d10
d18,d18,d18,d20,d19,d19,d19,d20,d20,d19,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d11,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
