-0.47496,-0.49271,-0.50899,-0.52849,-0.54917,-0.55154,-0.55742,-0.55745,-0.55522,-0.54489,-0.54213,-0.53207,-0.53319,-0.52652,-0.52074,-0.51784,-0.51682,-0.51593,-0.51385,-0.51331
0.94697,0.94621,0.94513,0.94431,0.94348,0.9432,0.94356,0.94372,0.94375,0.94281,0.94335,0.94295,0.94292,0.94296,0.94319,0.94384,0.9448,0.94495,0.94613,0.94749
0.91598,0.91585,0.91486,0.91507,0.91488,0.91478,0.91473,0.91467,0.91459,0.91441,0.91434,0.91436,0.91436,0.91408,0.91319,0.91365,0.91327,0.91316,0.91379,0.91456
0.99792,0.99619,0.99206,0.9894,0.98948,0.98672,0.98668,0.9862,0.98555,0.98508,0.98506,0.98478,0.98481,0.98495,0.98637,0.9891,0.99168,0.99473,0.99588,0.99572
0.18866,0.20227,0.19697,0.19201,0.19668,0.19626,0.19824,0.19893,0.19905,0.19957,0.19971,0.19934,0.19935,0.19799,0.19409,0.1906,0.18904,0.1864,0.18566,0.18591
0.90699,0.90274,0.88552,0.87037,0.86772,0.87125,0.87954,0.89912,0.9131,0.91139,0.8932,0.91765,0.91847,0.9195,0.92289,0.92899,0.93448,0.93805,0.93856,0.93718
0.98418,0.96851,0.94746,0.90164,0.86216,0.818,0.77016,0.74946,0.76431,0.81413,0.86554,0.95108,0.97829,0.99206,0.9978,0.99863,0.99738,0.99574,0.9947,0.99492
0.99898,0.99604,0.99086,0.98638,0.9844,0.98296,0.97936,0.97332,0.97011,0.97473,0.98346,0.99551,0.99952,1,0.9982,0.99787,0.99835,0.99856,0.99851,0.9985
-0.99453,-0.99111,-0.99109,-0.98937,-0.99254,-0.99419,-0.99488,-0.9967,-0.99771,-0.99776,-1,-0.99993,-0.99924,-0.99833,-0.99735,-0.99592,-0.99438,-0.99495,-0.99419,-0.99431
0.91849,0.91919,0.92025,0.90993,0.92236,0.92342,0.9232,0.90714,0.91856,0.8939,0.88857,0.90457,0.88734,0.88178,0.87741,0.87139,0.86876,0.86514,0.86096,0.86212
0.98707,0.98644,0.98508,0.98547,0.98592,0.9856,0.98512,0.98532,0.98418,0.98352,0.98272,0.98271,0.98185,0.98028,0.97896,0.97623,0.97494,0.97555,0.97504,0.97626
0.99675,0.99627,0.99606,0.99602,0.9953,0.99482,0.99419,0.99382,0.99377,0.99376,0.9938,0.99365,0.99376,0.99642,0.99886,0.99912,0.9995,0.99955,0.99964,0.99979
0.12656,0.12694,0.12687,0.12715,0.12761,0.12887,0.13165,0.1321,0.1337,0.13339,0.13387,0.13436,0.13439,0.13432,0.1343,0.13457,0.13493,0.13498,0.13486,0.135
0.92469,0.92399,0.92111,0.92257,0.91916,0.92098,0.92131,0.92216,0.92312,0.9222,0.92216,0.92206,0.92208,0.92197,0.92178,0.92157,0.92139,0.92145,0.92125,0.92119
0.99906,0.99912,0.99912,0.9992,0.99927,0.99928,0.99927,0.99927,0.99924,0.99916,0.99916,0.99933,0.99933,0.99938,0.99941,0.99944,0.99945,0.99947,0.99947,0.99947
0.817,0.81754,0.81818,0.81835,0.81862,0.81871,0.81895,0.81901,0.81928,0.81957,0.81971,0.81964,0.81957,0.81944,0.81895,0.81886,0.81727,0.81646,0.8162,0.81619
-0.93842,-0.93821,-0.93832,-0.93958,-0.94055,-0.94121,-0.94185,-0.94239,-0.94236,-0.94236,-0.9426,-0.94241,-0.94218,-0.94181,-0.94163,-0.94128,-0.94083,-0.94045,-0.94016,-0.94003
0.92361,0.92393,0.92373,0.92305,0.92255,0.92097,0.92091,0.92062,0.92063,0.92025,0.91999,0.92009,0.91981,0.92011,0.92037,0.92115,0.92077,0.92118,0.92159,0.92164
0.99878,0.99877,0.99871,0.99863,0.9984,0.99839,0.99844,0.9984,0.99851,0.99853,0.9986,0.99864,0.99875,0.99889,0.99903,0.999,0.99899,0.9991,0.99919,0.99914
0.81821,0.81691,0.8159,0.81503,0.81364,0.8135,0.81256,0.81149,0.81159,0.81159,0.81104,0.81051,0.81001,0.80953,0.80897,0.80841,0.80799,0.80769,0.80696,0.80556
