d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d17,d17,d17,d17,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d20,d20,d20,d20,d20,d20,d20,d20,d20,d20,d20,d20,d19,d19,d19,d19,d19,d19,d19
d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16
d12,d12,d12,d12,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d11,d9,d9,d9,d8,d8,d8,d8,d8,d8,d8
d14,d14,d14,d14,d14,d14,d14,d14,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15
d15,d15,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d15,d15,d15,d16,d16,d17,d17,d17
d17,d18,d17,d16,d16,d16,d17,d17,d17,d1,d7,d15,d15,d16,d6,d7,d8,d9,d9,d13,d13,d14,d14,d14,d8,d8,d14,d14,d15,d16,d16,d17,d17,d17
d11,d11,d11,d11,d11,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d11,d12,d12
d16,d16,d16,d16,d16,d16,d16,d16,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
