-0.4035,-0.39675,-0.38964,-0.37824,-0.37701,-0.3655,-0.36498,-0.35411,-0.35278,-0.34609,-0.34638,-0.34428,-0.34396,-0.34385,-0.34529,-0.34572,-0.34644,-0.3469,-0.34821,-0.34877,-0.34861,-0.34846,-0.34954,-0.35,-0.35291,-0.3608,-0.36907,-0.37708
-0.44242,-0.46172,-0.4642,-0.47889,-0.48523,-0.48735,-0.49472,-0.49526,-0.49891,-0.50118,-0.50257,-0.50369,-0.50565,-0.50579,-0.50452,-0.50472,-0.50328,-0.50222,-0.50141,-0.50081,-0.49931,-0.49796,-0.49406,-0.49033,-0.48866,-0.48485,-0.48278,-0.48121
-0.4182,-0.41557,-0.4117,-0.40784,-0.40608,-0.40454,-0.40446,-0.40369,-0.40337,-0.40296,-0.4028,-0.40278,-0.40338,-0.40349,-0.40364,-0.40365,-0.4037,-0.40622,-0.4085,-0.40942,-0.40896,-0.40917,-0.40995,-0.41133,-0.41194,-0.41289,-0.41228,-0.41409
-0.37324,-0.34899,-0.32691,-0.29272,-0.29044,-0.27628,-0.25662,-0.24741,-0.24512,-0.23999,-0.23622,-0.22713,-0.22712,-0.22452,-0.22348,-0.22358,-0.22486,-0.22381,-0.22169,-0.22041,-0.22005,-0.22017,-0.22131,-0.22234,-0.22755,-0.23408,-0.24939,-0.25744
0.90872,0.91147,0.91209,0.91558,0.91542,0.91603,0.91778,0.91752,0.91809,0.91827,0.91913,0.91925,0.92033,0.92112,0.92204,0.92274,0.92268,0.92257,0.92253,0.92303,0.92368,0.92477,0.92606,0.92684,0.92748,0.9272,0.92671,0.92596
0.10099,0.10549,0.10501,0.105,0.10457,0.10684,0.1086,0.10865,0.1075,0.10792,0.10757,0.10795,0.10575,0.10482,0.10472,0.10467,0.1046,0.10535,0.10537,0.1046,0.10206,0.10274,0.10164,0.10144,0.10089,0.098214,0.096736,0.093736
-0.3708,-0.3693,-0.36327,-0.37239,-0.38725,-0.39351,-0.40436,-0.40453,-0.40728,-0.40927,-0.41024,-0.41128,-0.41205,-0.41235,-0.41288,-0.41298,-0.4129,-0.41355,-0.41347,-0.41399,-0.41456,-0.41528,-0.41645,-0.41657,-0.41683,-0.41681,-0.41711,-0.4181
-0.34894,-0.34918,-0.34542,-0.33064,-0.32543,-0.33015,-0.32486,-0.32085,-0.31976,-0.32042,-0.32224,-0.33293,-0.33379,-0.33266,-0.33571,-0.33781,-0.3398,-0.34045,-0.34329,-0.3485,-0.34871,-0.34792,-0.34897,-0.3499,-0.35083,-0.35225,-0.35234,-0.35292
0.89857,0.90574,0.91549,0.92123,0.92531,0.92534,0.93036,0.93601,0.94068,0.94657,0.94897,0.95455,0.96389,0.97335,0.9837,0.99249,1,0.97018,0.95788,0.95135,0.94465,0.94249,0.94289,0.9406,0.9396,0.93787,0.93434,0.93249
-1,-0.96457,-0.87976,-0.81715,-0.76828,-0.73531,-0.69687,-0.65074,-0.61418,-0.58506,-0.56622,-0.53534,-0.4905,-0.44072,-0.38053,-0.32737,-0.26587,-0.43617,-0.49244,-0.5367,-0.60812,-0.6556,-0.70788,-0.75389,-0.78575,-0.81272,-0.8351,-0.85528
-0.42234,-0.4216,-0.42114,-0.42078,-0.42065,-0.42057,-0.42039,-0.42015,-0.42013,-0.42005,-0.42001,-0.41997,-0.41994,-0.41993,-0.41991,-0.41989,-0.41988,-0.41988,-0.41987,-0.41987,-0.44915,-0.47349,-0.4648,-0.44691,-0.44082,-0.43192,-0.42066,-0.40775
-0.53007,-0.54011,-0.53201,-0.52123,-0.50196,-0.47158,-0.47254,-0.48009,-0.48604,-0.49565,-0.50238,-0.42987,-0.38171,-0.35592,-0.27636,-0.22577,0.53742,0.37012,0.12482,0.016028,-0.086878,-0.15445,-0.25604,-0.31894,-0.37887,-0.42965,-0.47992,-0.51765
0.94179,0.941,0.93973,0.93957,0.93893,0.93849,0.93805,0.93741,0.93667,0.93676,0.93536,0.93598,0.93522,0.93499,0.93494,0.93409,0.93414,0.93395,0.93456,0.93437,0.93419,0.93468,0.93512,0.93543,0.9367,0.93682,0.93734,0.93757
0.07374,0.072277,0.075218,0.076105,0.075912,0.075779,0.075499,0.074952,0.074494,0.073622,0.072912,0.072513,0.072705,0.072853,0.073489,0.075336,0.073917,0.071922,0.073016,0.069543,0.069085,0.069646,0.070695,0.07207,0.07176,0.07142,0.072262,0.072676
-0.40503,-0.40474,-0.40599,-0.40674,-0.40735,-0.40809,-0.40929,-0.41081,-0.41258,-0.41446,-0.41413,-0.41571,-0.41568,-0.41653,-0.41751,-0.41833,-0.41829,-0.41859,-0.41875,-0.41883,-0.41884,-0.4189,-0.41886,-0.41857,-0.41786,-0.41513,-0.41264,-0.41127
-0.47587,-0.47577,-0.46699,-0.46616,-0.56357,-0.52561,-0.50563,-0.49864,-0.4835,-0.47675,-0.46678,-0.46405,-0.45986,-0.45755,-0.45472,-0.45176,-0.44932,-0.4408,-0.43197,-0.42837,-0.42851,-0.42731,-0.42541,-0.42331,-0.42284,-0.42353,-0.42423,-0.4231
0.95067,0.9529,0.9525,0.95413,0.95526,0.95649,0.95571,0.95645,0.95628,0.95665,0.95685,0.95696,0.95633,0.95593,0.95509,0.95241,0.95285,0.95513,0.95758,0.9588,0.95893,0.95943,0.9593,0.95878,0.95673,0.95646,0.95544,0.95475
-0.90872,-0.90144,-0.89575,-0.89343,-0.88772,-0.88601,-0.88489,-0.88354,-0.88291,-0.8828,-0.88291,-0.88333,-0.88524,-0.88716,-0.88922,-0.89337,-0.89355,-0.88545,-0.88459,-0.88336,-0.87884,-0.87456,-0.87597,-0.87478,-0.87714,-0.88263,-0.88973,-0.89523
-0.41491,-0.41718,-0.42089,-0.4234,-0.42478,-0.4302,-0.43183,-0.43524,-0.44012,-0.44399,-0.45735,-0.44865,-0.44807,-0.44932,-0.45989,-0.46074,-0.4637,-0.46667,-0.46731,-0.46747,-0.46745,-0.46705,-0.46493,-0.46339,-0.45802,-0.45406,-0.44612,-0.44354
-0.46389,-0.46495,-0.46606,-0.46733,-0.46947,-0.4719,-0.47442,-0.47609,-0.47558,-0.47615,-0.47598,-0.47563,-0.47532,-0.47499,-0.47255,-0.47283,-0.47049,-0.46099,-0.46261,-0.46074,-0.46,-0.45915,-0.45733,-0.45799,-0.45766,-0.45812,-0.45814,-0.45819
